Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Is Funded,Founder Gender Mix
1,FindYourKicksIndia,17,51,2021-12-20,2022-02-04,2022-01-11,A Wave Of Startups,Rannvijay Singh,Beauty/Fashion,Sneaker Resale,https://findyourkicksindia.co/,2021.0,3,3.0,,,0,,Ludhiana,Punjab,,3.5,,,,,,,,,50.0,10.0,500.0,1,1.0,50.0,25.0,0.0,,200.0,5.0,,,,,10.0,5.0,,,,,10.0,5.0,,10.0,5.0,,10.0,5.0,,,,,,,,10.0,5.0,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,AasVidyalaya,17,52,2021-12-20,2022-02-04,2022-01-11,A Wave Of Startups,Rannvijay Singh,Children/Education,EdTech App,https://www.aasvidyalaya.com/,2019.0,2,1.0,1.0,,1,,Mumbai,Maharashtra,150.0,,,,,,,,,,150.0,3.0,5000.0,1,1.0,150.0,15.0,0.0,,1000.0,3.0,,,,,50.0,5.0,,,,,,,,,,,50.0,5.0,,,,,,,,50.0,5.0,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
1,Otua,18,57,2021-12-20,2022-02-04,2022-01-12,Investing In Profitable Businesses,Rannvijay Singh,Vehicles/Electrical Vehicles,Electric Auto Vehicle Dandera,https://www.danderaelectric.com/,2018.0,2,2.0,,,0,,Gurgaon,Haryana,,,,,,,,,,,100.0,1.0,10000.0,1,1.0,1.0,1.0,99.0,12.0,100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,99.0,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,WeSTOCK,19,60,2021-12-20,2022-02-04,2022-01-13,Forming An Idea And Bagging A Deal,Rannvijay Singh,Animal/Pets,Brainwired Livestock health monitoring AI pets ear tag,https://www.brainwired.in/,2018.0,2,2.0,,,0,,Ernakulam,Kerala,54.0,,,,,,,,,,50.0,5.0,1000.0,1,1.0,60.0,10.0,0.0,,600.0,4.0,,,,,15.0,2.5,,,,,,,,15.0,2.5,,15.0,2.5,,,,,,,,15.0,2.5,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,INACAN,20,65,2021-12-20,2022-02-04,2022-01-14,A Variety Of Ideas,Rannvijay Singh,Food and Beverage,Can Cocktails,https://inacan.in/,2020.0,3,3.0,,,0,,Pune,Maharashtra,,23.0,,,,,,,,,50.0,2.0,2500.0,1,1.0,100.0,10.0,0.0,,1000.0,5.0,,,,,20.0,2.0,,,,,20.0,2.0,,20.0,2.0,,20.0,2.0,,,,,,,,20.0,2.0,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,Get-A-Whey,21,66,2021-12-20,2022-02-04,2022-01-17,Game-changing Ideas,Rannvijay Singh,Food and Beverage,Sugar-Free Icecream,https://getawhey.in/,2018.0,2,1.0,1.0,,0,,Mumbai,Maharashtra,360.0,0.25,69.0,20.0,,,12.0,,,,100.0,8.0,1250.0,1,1.0,100.0,15.0,0.0,,667.0,3.0,,,,,,,,33.33,5.0,,,,,33.33,5.0,,,,,,,,,,,33.33,5.0,,Ashneer Grover,Ashneer Grover,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
1,HairOriginals,22,69,2021-12-20,2022-02-04,2022-01-18,Turning Ideas Into Businesses,Rannvijay Singh,Beauty/Fashion,Natural Hair Extensions,https://www.hairoriginals.in/,2019.0,3,3.0,,,0,,Gurgaon,Haryana,,55.0,62.0,,,,,,,,60.0,2.0,3000.0,1,1.0,60.0,4.0,0.0,,1500.0,3.0,,,,,,,,,,,20.0,1.33,,,,,20.0,1.33,,,,,,,,20.0,1.33,,Ashneer Grover,Ashneer Grover,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,TheSassBar,24,77,2021-12-20,2022-02-04,2022-01-20,A Decade Of Indian Entrepreneurship,Rannvijay Singh,Beauty/Fashion,Gifts Soaps,https://www.thesassbar.com/,2019.0,1,,1.0,,0,,Mumbai,Maharashtra,,7.0,65.0,55.0,,,,,,,40.0,8.0,500.0,1,1.0,50.0,35.0,0.0,,143.0,2.0,,,,,,,,,,,25.0,17.5,,,,,,,,,,,,,,25.0,17.5,,Ghazal Alagh,Ghazal Alagh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Female Only
1,SunfoxTechnologies,25,81,2021-12-20,2022-02-04,2022-01-21,An Ocean Of Opportunities,Rannvijay Singh,Medical/Health,Portable ECG Device,https://www.sunfox.in/,2016.0,4,4.0,,,0,,Dehradun,Uttarakhand,120.0,5.0,,,,,,,,,100.0,2.0,5000.0,1,1.0,100.0,6.0,0.0,,1667.0,5.0,,,,,20.0,1.2,,20.0,1.2,,20.0,1.2,,,,,20.0,1.2,,,,,,,,20.0,1.2,,Ghazal Alagh,Ghazal Alagh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,WattTechnovations,27,87,2021-12-20,2022-02-04,2022-01-25,Investing In The Future Of India,Rannvijay Singh,Medical/Health,Ventilated PPE Kits,https://www.watttechnovations.com/,2020.0,1,1.0,,,0,,Pune,Maharashtra,,,,,,,,,,,0.00101,2.0,0.0,1,1.0,0.00101,4.0,0.0,,0.0,4.0,,,,,0.0002525,1.0,,,,,0.0002525,1.0,,,,,0.0002525,1.0,,,,,,,,0.0002525,1.0,,Ghazal Alagh,Ghazal Alagh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
